{'code': '115480', 'comp_nm': '씨유메디칼', 'target_nm': '주당손익', 'value': 0}
{'code': '115530', 'comp_nm': '씨엔플러스', 'target_nm': '매출액', 'value': 0}
{'code': '115530', 'comp_nm': '씨엔플러스', 'target_nm': '전기 매출액', 'value': 0}
{'code': '115530', 'comp_nm': '씨엔플러스', 'target_nm': '금융수익', 'value': 0}
{'code': '115530', 'comp_nm': '씨엔플러스', 'target_nm': '금융비용', 'value': 0}
{'code': '115530', 'comp_nm': '씨엔플러스', 'target_nm': '주당손익', 'value': 0}
{'code': '115530', 'comp_nm': '씨엔플러스', 'target_nm': '영업비용', 'value': 0}
{'code': '115530', 'comp_nm': '씨엔플러스', 'target_nm': '영업외손익', 'value': 0}
{'code': '115530', 'comp_nm': '씨엔플러스', 'target_nm': '영업외비용', 'value': 0}
{'code': '115530', 'comp_nm': '씨엔플러스', 'target_nm': '법인세비용', 'value': 0}
{'code': '121850', 'comp_nm': '코이즈', 'target_nm': '법인세비용', 'value': 0}
{'code': '122870', 'comp_nm': '와이지엔터테인먼트', 'target_nm': '영업외비용', 'value': 0}
{'code': '123750', 'comp_nm': '알톤스포츠', 'target_nm': '법인세비용', 'value': 0}
{'code': '128540', 'comp_nm': '에코캡', 'target_nm': '주당손익', 'value': 0}
{'code': '130740', 'comp_nm': '티피씨글로벌', 'target_nm': '영업외손익', 'value': 0}
{'code': '131100', 'comp_nm': '스카이이앤엠', 'target_nm': '법인세비용', 'value': 0}
{'code': '138580', 'comp_nm': '비즈니스온', 'target_nm': '금융비용', 'value': 0}
{'code': '138690', 'comp_nm': '엘아이에스', 'target_nm': '주당손익', 'value': 0}
{'code': '140410', 'comp_nm': '메지온', 'target_nm': '영업외비용', 'value': 0}
{'code': '140410', 'comp_nm': '메지온', 'target_nm': '법인세비용', 'value': 0}
{'code': '140670', 'comp_nm': '알에스오토메이션', 'target_nm': '주당손익', 'value': 0}
{'code': '141020', 'comp_nm': '포티스', 'target_nm': '법인세비용', 'value': 0}
{'code': '142280', 'comp_nm': '녹십자엠에스', 'target_nm': '법인세비용', 'value': 0}
{'code': '143540', 'comp_nm': '영우디에스피', 'target_nm': '영업외비용', 'value': 0}
{'code': '144510', 'comp_nm': '녹십자랩셀', 'target_nm': '금융비용', 'value': 0}
{'code': '148150', 'comp_nm': '세경하이테크', 'target_nm': '당기순이익', 'value': 0}
{'code': '148150', 'comp_nm': '세경하이테크', 'target_nm': '전기 당기순이익', 'value': 0}
{'code': '148150', 'comp_nm': '세경하이테크', 'target_nm': '영업외손익', 'value': 0}
{'code': '151910', 'comp_nm': '나노스', 'target_nm': '법인세비용', 'value': 0}
{'code': '155900', 'comp_nm': '바다로19호', 'target_nm': '주당손익', 'value': 0}
{'code': '155900', 'comp_nm': '바다로19호', 'target_nm': '법인세비용', 'value': 0}
{'code': '159910', 'comp_nm': '스킨앤스킨', 'target_nm': '법인세비용', 'value': 0}
{'code': '160600', 'comp_nm': '이큐셀', 'target_nm': '법인세비용', 'value': 0}
{'code': '161570', 'comp_nm': 'THE MIDONG', 'target_nm': '법인세비용', 'value': 0}
{'code': '168330', 'comp_nm': '내츄럴엔도텍', 'target_nm': '금융수익', 'value': 0}
{'code': '168330', 'comp_nm': '내츄럴엔도텍', 'target_nm': '금융비용', 'value': 0}
{'code': '168330', 'comp_nm': '내츄럴엔도텍', 'target_nm': '영업외비용', 'value': 0}
{'code': '168330', 'comp_nm': '내츄럴엔도텍', 'target_nm': '법인세비용', 'value': 0}
{'code': '172580', 'comp_nm': '하이골드12호', 'target_nm': '법인세비용', 'value': 0}
{'code': '182690', 'comp_nm': '테라셈', 'target_nm': '법인세비용', 'value': 0}
{'code': '185490', 'comp_nm': '아이진', 'target_nm': '법인세비용', 'value': 0}
{'code': '186230', 'comp_nm': '그린플러스', 'target_nm': '당기순이익', 'value': 0}
{'code': '186230', 'comp_nm': '그린플러스', 'target_nm': '전기 당기순이익', 'value': 0}
{'code': '186230', 'comp_nm': '그린플러스', 'target_nm': '영업외손익', 'value': 0}
{'code': '187790', 'comp_nm': '나노', 'target_nm': '주당손익', 'value': 0}
